Strategy 1000 of 1000 done.
Strategy: {:gold=>1.416350608362982, :food=>1.2609176871364605, :prestige=>0.04693193621229108, :reputation=>0.014516757908029199, :power=>1.80814816116248, :risk=>-1.168746248856153, :karma=>0.9497380652807672, :general=>1} won 32 times 
Strategy: {:gold=>1.7022441299965803, :food=>0.435502764167808, :prestige=>0.3462499566052848, :reputation=>1.5877608641267047, :power=>-0.056093033775730605, :risk=>0.27146361995757395, :karma=>1.4365217543046864, :general=>1} won 32 times
Strategy: {:gold=>1.9296217555427007, :food=>1.1278007902978222, :prestige=>0.7162089321671117, :reputation=>0.409007947311093, :power=>1.4477224009832987, :risk=>-1.1499825629852953, :karma=>1.3427661211826867, :general=>1} won 32 times 
Strategy: {:gold=>0.4491629105519037, :food=>0.9933310587221744, :prestige=>0.587211981414633, :reputation=>-0.9793429367906699, :power=>1.422243677198228, :risk=>-0.5674432890718446, :karma=>1.6818969167159659, :general=>1} won 32 times 
Strategy: {:gold=>1.4065835726094187, :food=>0.056136663900737904, :prestige=>1.5932840708968254, :reputation=>-0.6297836252488609, :power=>1.8602188521827312, :risk=>-1.6162683065237455, :karma=>1.0079839760323341, :general=>1} won 32 times
Strategy: {:gold=>1.1617906176923036, :food=>0.3772937133214136, :prestige=>0.3008909344860382, :reputation=>1.0425577575174896, :power=>0.874761189104686, :risk=>-0.16241209066190576, :karma=>0.39183217557951155, :general=>1} won 32 times
Strategy: {:gold=>1.1918705203485775, :food=>1.0762247676063874, :prestige=>0.8060092776019154, :reputation=>1.9370251070411495, :power=>1.9558383696818091, :risk=>0.06375607647728021, :karma=>1.4860144874840322, :general=>1} won 32 times
Strategy: {:gold=>1.0601212355048353, :food=>0.25067771530233207, :prestige=>0.8423307021523039, :reputation=>1.9246519647666638, :power=>0.30442240573424284, :risk=>0.4539569749304002, :karma=>0.41426622952275105, :general=>1} won 32 times
Strategy: {:gold=>0.9786899224445664, :food=>1.7439848309822248, :prestige=>1.6358629902085675, :reputation=>-1.8730971339394182, :power=>1.7905173831835386, :risk=>-0.6027554837006375, :karma=>1.3475950806307204, :general=>1} won 32 times
Strategy: {:gold=>0.8385258870343117, :food=>0.3414357181736243, :prestige=>0.9406965276511732, :reputation=>-0.9750411593219583, :power=>1.5779979972091134, :risk=>-0.37211020114311366, :karma=>0.6660089695949902, :general=>1} won 32 times
Strategy: {:gold=>1.7664488001763674, :food=>1.5806924360029238, :prestige=>0.36479905947187774, :reputation=>1.3955251077291386, :power=>1.7833441768075602, :risk=>0.5734357621539168, :karma=>1.725605633196616, :general=>1} won 32 times 
Strategy: {:gold=>0.29114926535848595, :food=>0.7607887079291735, :prestige=>1.3691765565605103, :reputation=>-1.810211776766491, :power=>1.6454308894791057, :risk=>0.20022258289723727, :karma=>1.0994049661107648, :general=>1} won 32 times
Strategy: {:gold=>1.8549208209224652, :food=>0.20320601081862288, :prestige=>0.730434002156154, :reputation=>0.4306444700441636, :power=>1.8893692383072533, :risk=>0.5218207497993297, :karma=>0.4946229194166347, :general=>1} won 32 times 
Strategy: {:gold=>0.7180773158717833, :food=>1.2770778091123962, :prestige=>0.30683494703329783, :reputation=>0.11116131015082154, :power=>1.9489763428239728, :risk=>-1.0681565442667118, :karma=>0.2584102743208858, :general=>1} won 32 times
Strategy: {:gold=>1.350632934640594, :food=>0.8566985558792601, :prestige=>1.2328443549094292, :reputation=>-1.4013229023252407, :power=>1.7613417043639665, :risk=>0.11484141906641199, :karma=>1.0176191687934355, :general=>1} won 31 times
Strategy: {:gold=>1.6622457870499228, :food=>1.3955822713554136, :prestige=>0.030548965857114085, :reputation=>-0.13832121605613645, :power=>0.04736353317115549, :risk=>0.8192078854815215, :karma=>1.3517093008512375, :general=>1} won 31 times
Strategy: {:gold=>0.3107148181679804, :food=>0.7147201135766086, :prestige=>0.32588609340950914, :reputation=>-0.4112327244078622, :power=>0.9298445846569092, :risk=>0.34843702013289857, :karma=>0.119403564947697, :general=>1} won 31 times
